diagnostico,condition_id,especialidad,nivel_urgencia
Achalasia,c_1,Clínica Médica,Consulta
Atopic dermatitis,c_2,Dermatología,Consulta
Allergic conjunctivitis,c_3,Clínica Médica,Consulta
Allergic rhinitis,c_4,Otorrinolaringología,Consulta
Alcohol use disorder,c_5,Clínica Médica,Consulta
Anorexia nervosa,c_7,Salud Mental,Consulta
Asthma,c_8,Neumonología,Consulta
Anogenital warts,c_12,Clínica Médica,Consulta
Warts,c_13,Clínica Médica,Consulta
Bulimia nervosa,c_14,Salud Mental,Consulta
Celiac disease,c_15,Gastroenterología,Consulta
Alzheimer's disease,c_16,Clínica Médica,Consulta
Crohn's disease,c_17,Clínica Médica,Consulta
Parkinson's disease,c_19,Neurología,Consulta
Peptic ulcer,c_20,Clínica Médica,Consulta
Ulcerative colitis,c_23,Gastroenterología,Consulta
Melanoma,c_25,Clínica Médica,Consulta
Depressive disorder,c_26,Salud Mental,Consulta
Gout,c_27,Clínica Médica,Consulta
Essential tremor,c_29,Clínica Médica,Consulta
Degenerative disc disease of the lumbar and sacral spine,c_30,Clínica Médica,Consulta
Endometriosis,c_31,Ginecología,Consulta
Pulmonary tuberculosis,c_32,Clínica Médica,Consulta
Influenza,c_33,Clínica Médica,Consulta
Gilbert's syndrome,c_34,Clínica Médica,Consulta
Hypotension,c_35,Clínica Médica,Consulta
Infectious arthritis,c_36,Reumatología,Consulta
Nephrolithiasis,c_37,Nefrología,Consulta
Cholecystolithiasis,c_38,Clínica Médica,Consulta
Cluster headaches,c_39,Neurología,Consulta
Mild cognitive impairment,c_41,Clínica Médica,Consulta
Impetigo contagiosa,c_42,Clínica Médica,Consulta
Psoriasis,c_43,Dermatología,Consulta
Menopause,c_45,Clínica Médica,Consulta
Myasthenia gravis,c_46,Clínica Médica,Consulta
Atrial fibrillation,c_48,Clínica Médica,Consulta
Migraine,c_49,Neurología,Consulta
Hypertension,c_50,Cardiología,Consulta
Hyperparathyroidism,c_51,Endocrinología,Consulta
Hyperthyroidism,c_52,Endocrinología,Consulta
Urge urinary incontinence,c_54,Urología,Consulta
Tension-type headaches,c_55,Neurología,Consulta
Addison's disease,c_57,Clínica Médica,Consulta
Hypoparathyroidism,c_58,Endocrinología,Consulta
Hypothyroidism,c_59,Endocrinología,Consulta
Hemolytic anemia,c_60,Hematología,Consulta
Vitamin B12 deficiency anemia,c_61,Hematología,Consulta
Iron deficiency anemia,c_62,Hematología,Consulta
Nicotine dependence,c_63,Clínica Médica,Consulta
Lung cancer,c_64,Neumonología,Consulta
Malignant tumor of stomach,c_66,Clínica Médica,Consulta
Oral herpes,c_67,Clínica Médica,Consulta
Chickenpox,c_68,Clínica Médica,Consulta
Osteoporosis,c_69,Clínica Médica,Consulta
Acute lymphoblastic leukemia,c_70,Hematología,Consulta
Acute myeloid leukemia,c_71,Hematología,Consulta
Acute bronchitis,c_72,Neumonología,Consulta
Acute pancreatitis,c_73,Gastroenterología,Urgente
Epilepsy,c_74,Neurología,Consulta
Periodontitis,c_75,Clínica Médica,Consulta
Chronic obstructive pulmonary disease,c_76,Clínica Médica,Consulta
Acute urticaria,c_77,Dermatología,Consulta
Shingles,c_78,Clínica Médica,Consulta
Dental caries,c_79,Clínica Médica,Consulta
Fatigue,c_80,Clínica Médica,Consulta
Benign prostatic hyperplasia,c_81,Urología,Consulta
Chronic lymphocytic leukemia,c_82,Hematología,Consulta
Chronic myelogenous leukemia,c_83,Hematología,Consulta
Chronic venous insufficiency,c_84,Clínica Médica,Consulta
Peripheral vascular disease,c_85,Clínica Médica,Consulta
Chronic pancreatitis,c_86,Gastroenterología,Urgente
Common cold,c_87,Clínica Médica,Consulta
Endometrial tumor,c_88,Clínica Médica,Consulta
Ovarian tumor,c_89,Clínica Médica,Consulta
Colon cancer,c_90,Gastroenterología,Consulta
Laryngeal cancer,c_91,Clínica Médica,Consulta
Malignant tumor of kidney,c_92,Nefrología,Consulta
